Date,Product_ID,productName,quantity,price,category
2024-01-01,P001,Rice Bag,5,1200,Food & Beverages
2024-01-02,P002,Sugar Pack,3,450,Food & Beverages
2024-01-03,P003,Wheat Flour,4,980,Food & Beverages
2024-01-04,P004,Cooking Oil,2,320,Food & Beverages
2024-01-05,P005,Milk Packet,10,500,Food & Beverages
2024-01-06,P006,Bread Loaf,6,240,Food & Beverages
2024-01-07,P007,Egg Tray,2,280,Food & Beverages
2024-01-08,P008,Tea Pack,3,360,Food & Beverages
2024-01-09,P009,Lentils,5,450,Food & Beverages
2024-01-10,P010,Onion Bag,7,245,Food & Beverages
2024-01-11,P011,Potato Bag,8,240,Food & Beverages
2024-01-12,P012,Tomato Pack,6,240,Food & Beverages
2024-01-13,P013,Apple Pack,4,480,Food & Beverages
2024-01-14,P014,Banana Dozen,5,300,Food & Beverages
2024-01-15,P015,Soap Bar,9,315,Health & Beauty
2024-01-16,P001,Rice Bag,3,1200,Food & Beverages
2024-01-17,P002,Sugar Pack,5,450,Food & Beverages
2024-01-18,P005,Milk Packet,12,500,Food & Beverages
2024-01-19,P006,Bread Loaf,8,240,Food & Beverages
2024-01-20,P010,Onion Bag,6,245,Food & Beverages
2024-01-21,P011,Potato Bag,10,240,Food & Beverages
2024-01-22,P013,Apple Pack,7,480,Food & Beverages
2024-01-23,P014,Banana Dozen,9,300,Food & Beverages
2024-01-24,P015,Soap Bar,4,315,Health & Beauty
2024-01-25,P003,Wheat Flour,6,980,Food & Beverages